,InvoiceNo,StockCode,Description,Quantity,UnitPrice,CustomerID,Country,gross_profit,invoice_date,invoice_time
1985,C536548,20957,PORCELAIN HANGING BELL SMALL,-1,1.45,12472.0,Germany,-1.45,2010-12-01,14:33:00
1986,C536548,22580,ADVENT CALENDAR GINGHAM SACK,-4,5.95,12472.0,Germany,-23.8,2010-12-01,14:33:00
3170,C536606,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-2,2.95,14092.0,United Kingdom,-5.9,2010-12-02,09:10:00
3338,C536622,22752,SET 7 BABUSHKA NESTING BOXES,-2,8.5,12471.0,Germany,-17.0,2010-12-02,10:37:00
3410,C536625,22839,3 TIER CAKE TIN GREEN AND CREAM,-2,14.95,14766.0,United Kingdom,-29.9,2010-12-02,10:46:00
3693,C536642,21463,MIRRORED DISCO BALL ,-1,5.95,14390.0,United Kingdom,-5.95,2010-12-02,11:56:00
3911,C536734,22780,LIGHT GARLAND BUTTERFILES PINK,-4,4.25,16042.0,United Kingdom,-17.0,2010-12-02,12:50:00
3912,C536734,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-1,7.95,16042.0,United Kingdom,-7.95,2010-12-02,12:50:00
3919,C536737,22798,ANTIQUE GLASS DRESSING TABLE POT,-2,2.95,15922.0,United Kingdom,-5.9,2010-12-02,13:05:00
4287,C536757,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9360,0.03,15838.0,United Kingdom,-280.8,2010-12-02,14:23:00
4288,C536758,21314,SMALL GLASS HEART TRINKET POT,-1,2.1,13767.0,United Kingdom,-2.1,2010-12-02,14:25:00
4306,C536760,22175,PINK OWL SOFT TOY,-1,2.95,17547.0,United Kingdom,-2.95,2010-12-02,14:29:00
4307,C536760,22273,FELTCRAFT DOLL MOLLY,-3,2.95,17547.0,United Kingdom,-8.850000000000001,2010-12-02,14:29:00
4836,C536807,22501,PICNIC BASKET WICKER LARGE,-2,9.95,15834.0,United Kingdom,-19.9,2010-12-02,16:45:00
4837,C536807,22778,GLASS CLOCHE SMALL,-1,3.95,15834.0,United Kingdom,-3.95,2010-12-02,16:45:00
4853,C536812,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,-36,0.85,16546.0,United Kingdom,-30.599999999999998,2010-12-02,16:58:00
4854,C536812,22574,HEART WOODEN CHRISTMAS DECORATION,-192,0.72,16546.0,United Kingdom,-138.24,2010-12-02,16:58:00
4855,C536812,22593,CHRISTMAS GINGHAM STAR,-144,0.72,16546.0,United Kingdom,-103.67999999999999,2010-12-02,16:58:00
4856,C536812,22595,CHRISTMAS GINGHAM HEART,-144,0.72,16546.0,United Kingdom,-103.67999999999999,2010-12-02,16:58:00
4857,C536812,22588,CARD HOLDER GINGHAM HEART,-192,2.1,16546.0,United Kingdom,-403.20000000000005,2010-12-02,16:58:00
4858,C536812,22130,PARTY CONE CHRISTMAS DECORATION ,-144,0.72,16546.0,United Kingdom,-103.67999999999999,2010-12-02,16:58:00
4876,C536814,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-2,7.95,13958.0,United Kingdom,-15.9,2010-12-02,17:03:00
4877,C536814,72799E,IVORY PILLAR CANDLE SILVER FLOCK,-6,2.95,13958.0,United Kingdom,-17.700000000000003,2010-12-02,17:03:00
4878,C536814,85066,CREAM SWEETHEART MINI CHEST,-2,12.75,13958.0,United Kingdom,-25.5,2010-12-02,17:03:00
4879,C536814,21586,KINGS CHOICE GIANT TUBE MATCHES,-12,2.55,13958.0,United Kingdom,-30.599999999999998,2010-12-02,17:03:00
4880,C536814,21258,VICTORIAN SEWING BOX LARGE,-1,12.75,13958.0,United Kingdom,-12.75,2010-12-02,17:03:00
4881,C536815,85175,CACTI T-LIGHT CANDLES,-1,0.42,14443.0,United Kingdom,-0.42,2010-12-02,17:05:00
4882,C536815,22178,VICTORIAN GLASS HANGING T-LIGHT,-1,1.25,14443.0,United Kingdom,-1.25,2010-12-02,17:05:00
4883,C536816,21129,SILVER FISHING GNOME ,-2,6.95,14443.0,United Kingdom,-13.9,2010-12-02,17:06:00
4884,C536817,22187,GREEN CHRISTMAS TREE CARD HOLDER,-1,4.25,14156.0,EIRE,-4.25,2010-12-02,17:08:00
4885,C536817,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,3.25,14156.0,EIRE,-3.25,2010-12-02,17:08:00
4886,C536818,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,-1,1.25,16995.0,United Kingdom,-1.25,2010-12-02,17:09:00
4904,C536820,22877,NUMBER TILE COTTAGE GARDEN 9,-1,1.95,18168.0,United Kingdom,-1.95,2010-12-02,17:14:00
4905,C536820,22869,NUMBER TILE COTTAGE GARDEN 1,-1,1.95,18168.0,United Kingdom,-1.95,2010-12-02,17:14:00
4906,C536820,22878,NUMBER TILE COTTAGE GARDEN No,-1,2.1,18168.0,United Kingdom,-2.1,2010-12-02,17:14:00
4907,C536820,21843,RED RETROSPOT CAKE STAND,-1,10.95,18168.0,United Kingdom,-10.95,2010-12-02,17:14:00
4931,C536822,22847,BREAD BIN DINER STYLE IVORY,-2,16.95,14625.0,United Kingdom,-33.9,2010-12-02,17:19:00
4932,C536822,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,-1,3.75,14625.0,United Kingdom,-3.75,2010-12-02,17:19:00
4937,C536825,22617,BAKING SET SPACEBOY DESIGN,-1,4.95,15384.0,United Kingdom,-4.95,2010-12-02,17:27:00
4938,C536825,22197,SMALL POPCORN HOLDER,-2,0.85,15384.0,United Kingdom,-1.7,2010-12-02,17:27:00
4939,C536826,35004B,SET OF 3 BLACK FLYING DUCKS,-2,4.65,17924.0,United Kingdom,-9.3,2010-12-02,17:30:00
4940,C536826,35004B,SET OF 3 BLACK FLYING DUCKS,-3,4.65,17924.0,United Kingdom,-13.950000000000001,2010-12-02,17:30:00
4941,C536827,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-3,6.95,13408.0,United Kingdom,-20.85,2010-12-02,17:31:00
4942,C536828,22832,BROCANTE SHELF WITH HOOKS,-1,10.75,14264.0,United Kingdom,-10.75,2010-12-02,17:35:00
4943,C536828,84946,ANTIQUE SILVER TEA GLASS ETCHED,-3,1.25,14264.0,United Kingdom,-3.75,2010-12-02,17:35:00
4944,C536829,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,3.25,13295.0,United Kingdom,-3.25,2010-12-02,17:36:00
5232,C536850,22942,CHRISTMAS LIGHTS 10 SANTAS ,-48,7.65,14213.0,United Kingdom,-367.20000000000005,2010-12-03,09:47:00
5233,C536850,22689,DOORMAT MERRY CHRISTMAS RED ,-50,6.75,14213.0,United Kingdom,-337.5,2010-12-03,09:47:00
5234,C536850,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,-50,2.55,14213.0,United Kingdom,-127.49999999999999,2010-12-03,09:47:00
5235,C536850,22580,ADVENT CALENDAR GINGHAM SACK,-48,4.95,14213.0,United Kingdom,-237.60000000000002,2010-12-03,09:47:00
5236,C536850,22186,RED STAR CARD HOLDER,-48,2.55,14213.0,United Kingdom,-122.39999999999999,2010-12-03,09:47:00
5259,C536853,84678,CLASSICAL ROSE SMALL VASE,-1,2.55,14679.0,United Kingdom,-2.55,2010-12-03,10:07:00
5260,C536854,22158,3 HEARTS HANGING DECORATION RUSTIC,-1,2.95,15240.0,United Kingdom,-2.95,2010-12-03,10:09:00
5261,C536854,22944,CHRISTMAS METAL POSTCARD WITH BELLS,-1,1.25,15240.0,United Kingdom,-1.25,2010-12-03,10:09:00
5262,C536854,21871,SAVE THE PLANET MUG,-1,1.25,15240.0,United Kingdom,-1.25,2010-12-03,10:09:00
5263,C536855,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-4,7.95,18225.0,United Kingdom,-31.8,2010-12-03,10:11:00
6781,C536978,22776,SWEETHEART CAKESTAND 3 TIER,-1,9.95,17954.0,United Kingdom,-9.95,2010-12-03,14:19:00
6782,C536979,84685,BEACH HUT KEY CABINET,-1,3.75,17841.0,United Kingdom,-3.75,2010-12-03,14:23:00
6783,C536979,22630,DOLLY GIRL LUNCH BOX,-1,1.95,17841.0,United Kingdom,-1.95,2010-12-03,14:23:00
7278,C537024,20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,-36,2.1,13941.0,United Kingdom,-75.60000000000001,2010-12-03,16:21:00
7437,C537039,22854,CREAM SWEETHEART EGG HOLDER,-1,4.95,15708.0,United Kingdom,-4.95,2010-12-05,10:25:00
7438,C537039,20936,FORKED CACTUS CANDLE,-1,2.95,15708.0,United Kingdom,-2.95,2010-12-05,10:25:00
7439,C537039,85175,CACTI T-LIGHT CANDLES,-1,0.42,15708.0,United Kingdom,-0.42,2010-12-05,10:25:00
7520,C537043,22575,METAL MERRY CHRISTMAS WREATH,-6,1.95,15351.0,United Kingdom,-11.7,2010-12-05,10:48:00
7521,C537043,11001,ASSTD DESIGN RACING CAR PEN,-1,1.69,15351.0,United Kingdom,-1.69,2010-12-05,10:48:00
8316,C537132,22788,BROCANTE COAT RACK,-2,8.5,15221.0,United Kingdom,-17.0,2010-12-05,12:29:00
8317,C537132,22184,CAKE STAND VICTORIAN FILIGREE LARGE,-1,8.5,15221.0,United Kingdom,-8.5,2010-12-05,12:29:00
8318,C537132,71279,PINK GLASS CANDLEHOLDER,-2,2.95,15221.0,United Kingdom,-5.9,2010-12-05,12:29:00
8319,C537132,22761,CHEST 7 DRAWER MA CAMPAGNE,-2,21.95,15221.0,United Kingdom,-43.9,2010-12-05,12:29:00
8320,C537132,22769,CHALKBOARD KITCHEN ORGANISER,-8,21.95,15221.0,United Kingdom,-175.6,2010-12-05,12:29:00
8321,C537132,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,-3,12.75,15221.0,United Kingdom,-38.25,2010-12-05,12:29:00
8685,C537143,20685,DOORMAT RED RETROSPOT,-1,7.95,12748.0,United Kingdom,-7.95,2010-12-05,12:58:00
8952,C537157,35953,FOLKART STAR CHRISTMAS DECORATIONS,-24,1.25,15880.0,United Kingdom,-30.0,2010-12-05,13:09:00
9038,C537164,D,Discount,-1,29.29,14527.0,United Kingdom,-29.29,2010-12-05,13:21:00
9493,C537203,37449,CERAMIC CAKE STAND + HANGING CAKES,-1,9.95,14606.0,United Kingdom,-9.95,2010-12-05,14:44:00
9494,C537203,21424,WOODLAND STORAGE BOX LARGE ,-1,2.95,14606.0,United Kingdom,-2.95,2010-12-05,14:44:00
10194,C537232,84840,SWEETHEART CARRY-ALL BASKET,-2,8.5,12586.0,Italy,-17.0,2010-12-06,09:31:00
10204,C537234,22653,BUTTON BOX ,-20,1.95,16161.0,United Kingdom,-39.0,2010-12-06,09:40:00
11799,C537314,21349,IVY HEART WREATH,-4,6.75,13497.0,United Kingdom,-27.0,2010-12-06,11:42:00
11800,C537320,35400,WOODEN BOX ADVENT CALENDAR ,-1,8.95,14867.0,United Kingdom,-8.95,2010-12-06,11:47:00
11813,C537333,22636,CHILDS BREAKFAST SET CIRCUS PARADE,-4,8.5,12474.0,Germany,-34.0,2010-12-06,12:00:00
12402,C537373,22423,REGENCY CAKESTAND 3 TIER,-1,12.75,14487.0,United Kingdom,-12.75,2010-12-06,12:55:00
12455,C537379,22865,HAND WARMER OWL DESIGN,-10,2.1,15882.0,United Kingdom,-21.0,2010-12-06,13:12:00
12538,C537383,21658,GLASS  BEURRE DISH,-1,3.95,16550.0,United Kingdom,-3.95,2010-12-06,13:17:00
12539,C537383,22197,SMALL POPCORN HOLDER,-1,0.85,16550.0,United Kingdom,-0.85,2010-12-06,13:17:00
12540,C537383,22371,AIRLINE BAG VINTAGE TOKYO 78,-1,4.25,16550.0,United Kingdom,-4.25,2010-12-06,13:17:00
12823,C537398,22430,ENAMEL WATERING CAN CREAM,-1,4.95,15426.0,United Kingdom,-4.95,2010-12-06,14:22:00
12946,C537402,22926,IVORY GIANT GARDEN THERMOMETER,-4,5.95,15502.0,United Kingdom,-23.8,2010-12-06,14:43:00
12947,C537402,22927,GREEN GIANT GARDEN THERMOMETER,-4,5.95,15502.0,United Kingdom,-23.8,2010-12-06,14:43:00
12948,C537402,22849,BREAD BIN DINER STYLE MINT,-4,14.95,15502.0,United Kingdom,-59.8,2010-12-06,14:43:00
12949,C537402,22847,BREAD BIN DINER STYLE IVORY,-4,14.95,15502.0,United Kingdom,-59.8,2010-12-06,14:43:00
12950,C537402,47580,TEA TIME DES TEA COSY,-6,2.55,15502.0,United Kingdom,-15.299999999999999,2010-12-06,14:43:00
12951,C537402,22196,SMALL HEART MEASURING SPOONS,-12,0.85,15502.0,United Kingdom,-10.2,2010-12-06,14:43:00
13009,C537406,22926,IVORY GIANT GARDEN THERMOMETER,-4,5.95,15502.0,United Kingdom,-23.8,2010-12-06,14:53:00
13010,C537406,22927,GREEN GIANT GARDEN THERMOMETER,-4,5.95,15502.0,United Kingdom,-23.8,2010-12-06,14:53:00
13011,C537406,22847,BREAD BIN DINER STYLE IVORY,-4,14.95,15502.0,United Kingdom,-59.8,2010-12-06,14:53:00
13012,C537406,22849,BREAD BIN DINER STYLE MINT,-4,14.95,15502.0,United Kingdom,-59.8,2010-12-06,14:53:00
13019,C537408,47580,TEA TIME DES TEA COSY,-6,2.55,15502.0,United Kingdom,-15.299999999999999,2010-12-06,14:55:00
13020,C537408,22196,SMALL HEART MEASURING SPOONS,-12,0.85,15502.0,United Kingdom,-10.2,2010-12-06,14:55:00
13042,C537413,22834,HAND WARMER BABUSHKA DESIGN,-72,2.1,14409.0,United Kingdom,-151.20000000000002,2010-12-06,15:07:00
13052,C537414,POST,POSTAGE,-1,4.41,16861.0,United Kingdom,-4.41,2010-12-06,15:09:00
13053,C537414,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,-6,2.95,16861.0,United Kingdom,-17.700000000000003,2010-12-06,15:09:00
13054,C537416,22840,ROUND CAKE TIN VINTAGE RED,-1,7.95,16138.0,United Kingdom,-7.95,2010-12-06,15:10:00
13055,C537417,22960,JAM MAKING SET WITH JARS,-1,4.25,13481.0,United Kingdom,-4.25,2010-12-06,15:12:00
13265,C537431,21755,LOVE BUILDING BLOCK WORD,-1,5.95,16782.0,United Kingdom,-5.95,2010-12-06,16:10:00
14022,C537444,22580,ADVENT CALENDAR GINGHAM SACK,-8,5.95,14850.0,United Kingdom,-47.6,2010-12-07,08:42:00
14023,C537445,22418,10 COLOUR SPACEBOY PEN,-11,0.85,15021.0,United Kingdom,-9.35,2010-12-07,08:57:00
14332,C537530,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-1,7.95,13319.0,United Kingdom,-7.95,2010-12-07,11:47:00
14333,C537530,85047,WHITE BEADED GARLAND STRING 20LIGHT,-2,6.35,13319.0,United Kingdom,-12.7,2010-12-07,11:47:00
14334,C537530,22726,ALARM CLOCK BAKELIKE GREEN,-2,3.75,13319.0,United Kingdom,-7.5,2010-12-07,11:47:00
14497,C537596,22968,ROSE COTTAGE KEEPSAKE BOX ,-2,9.95,17954.0,United Kingdom,-19.9,2010-12-07,12:31:00
14498,C537597,D,Discount,-1,281.0,15498.0,United Kingdom,-281.0,2010-12-07,12:34:00
14524,C537602,85099B,JUMBO BAG RED RETROSPOT,-1,1.65,17511.0,United Kingdom,-1.65,2010-12-07,12:45:00
14525,C537602,21622,VINTAGE UNION JACK CUSHION COVER,-1,4.95,17511.0,United Kingdom,-4.95,2010-12-07,12:45:00
14526,C537602,22065,CHRISTMAS PUDDING TRINKET POT ,-1,1.25,17511.0,United Kingdom,-1.25,2010-12-07,12:45:00
14527,C537602,22061,LARGE CAKE STAND  HANGING STRAWBERY,-1,8.5,17511.0,United Kingdom,-8.5,2010-12-07,12:45:00
14528,C537602,22654,DELUXE SEWING KIT ,-1,4.95,17511.0,United Kingdom,-4.95,2010-12-07,12:45:00
14529,C537602,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2.55,17511.0,United Kingdom,-2.55,2010-12-07,12:45:00
14530,C537602,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,-1,2.95,17511.0,United Kingdom,-2.95,2010-12-07,12:45:00
14531,C537602,22197,SMALL POPCORN HOLDER,-1,0.72,17511.0,United Kingdom,-0.72,2010-12-07,12:45:00
14532,C537602,22659,LUNCH BOX I LOVE LONDON,-4,1.65,17511.0,United Kingdom,-6.6,2010-12-07,12:45:00
14533,C537602,22169,FAMILY ALBUM WHITE PICTURE FRAME,-1,7.65,17511.0,United Kingdom,-7.65,2010-12-07,12:45:00
14534,C537602,21843,RED RETROSPOT CAKE STAND,-1,9.95,17511.0,United Kingdom,-9.95,2010-12-07,12:45:00
14535,C537602,22423,REGENCY CAKESTAND 3 TIER,-2,10.95,17511.0,United Kingdom,-21.9,2010-12-07,12:45:00
14536,C537602,84050,PINK HEART SHAPE EGG FRYING PAN,-1,1.25,17511.0,United Kingdom,-1.25,2010-12-07,12:45:00
14537,C537602,22198,LARGE POPCORN HOLDER ,-1,1.45,17511.0,United Kingdom,-1.45,2010-12-07,12:45:00
14717,C537611,22865,HAND WARMER OWL DESIGN,-36,2.1,17675.0,United Kingdom,-75.60000000000001,2010-12-07,13:25:00
16424,C537656,21258,VICTORIAN SEWING BOX LARGE,-12,10.95,15100.0,United Kingdom,-131.39999999999998,2010-12-07,16:21:00
17075,C537677,21166,COOK WITH WINE METAL SIGN ,-1,1.95,14796.0,United Kingdom,-1.95,2010-12-08,09:55:00
17134,C537684,22301,COFFEE MUG CAT + BIRD DESIGN,-1,2.55,14901.0,United Kingdom,-2.55,2010-12-08,10:18:00
17135,C537684,22730,ALARM CLOCK BAKELIKE IVORY,-1,3.75,14901.0,United Kingdom,-3.75,2010-12-08,10:18:00
17352,C537746,22156,HEART DECORATION WITH PEARLS ,-1,0.85,15021.0,United Kingdom,-0.85,2010-12-08,11:03:00
17353,C537746,21558,SKULL LUNCH BOX WITH CUTLERY ,-1,2.55,15021.0,United Kingdom,-2.55,2010-12-08,11:03:00
17354,C537746,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,3.25,15021.0,United Kingdom,-3.25,2010-12-08,11:03:00
17388,C537756,21914,BLUE HARMONICA IN BOX ,-24,1.25,14952.0,United Kingdom,-30.0,2010-12-08,11:33:00
17389,C537756,84949,SILVER HANGING T-LIGHT HOLDER,-8,1.65,14952.0,United Kingdom,-13.2,2010-12-08,11:33:00
17390,C537756,21275,ZINC TOP  2 DOOR WOODEN SHELF ,-4,14.95,14952.0,United Kingdom,-59.8,2010-12-08,11:33:00
17453,C537763,85068,CREAM SWEETHEART SHELF + HOOKS,-1,7.95,16713.0,United Kingdom,-7.95,2010-12-08,12:03:00
17986,C537788,90062,CARNIVAL BRACELET,-1,12.75,15916.0,United Kingdom,-12.75,2010-12-08,12:49:00
17987,C537788,16202E,BLACK PHOTO ALBUM ,-1,5.55,15916.0,United Kingdom,-5.55,2010-12-08,12:49:00
18132,C537797,22501,PICNIC BASKET WICKER LARGE,-1,8.5,13113.0,United Kingdom,-8.5,2010-12-08,13:07:00
18133,C537797,22423,REGENCY CAKESTAND 3 TIER,-2,10.95,13113.0,United Kingdom,-21.9,2010-12-08,13:07:00
18134,C537797,22469,HEART OF WICKER SMALL,-1,1.45,13113.0,United Kingdom,-1.45,2010-12-08,13:07:00
18135,C537798,22357,KINGS CHOICE BISCUIT TIN,-1,4.25,16553.0,United Kingdom,-4.25,2010-12-08,13:07:00
18196,C537805,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,4.65,15311.0,United Kingdom,-4.65,2010-12-08,13:18:00
18197,C537805,40001,WHITE BAMBOO RIBS LAMPSHADE,-2,0.64,15311.0,United Kingdom,-1.28,2010-12-08,13:18:00
18198,C537805,85047,WHITE BEADED GARLAND STRING 20LIGHT,-1,5.55,15311.0,United Kingdom,-5.55,2010-12-08,13:18:00
18199,C537805,22719,GUMBALL MONOCHROME COAT RACK,-3,1.06,15311.0,United Kingdom,-3.18,2010-12-08,13:18:00
18200,C537805,20798,CLEAR MILKSHAKE GLASS,-4,1.65,15311.0,United Kingdom,-6.6,2010-12-08,13:18:00
18201,C537805,22198,LARGE POPCORN HOLDER ,-1,1.45,15311.0,United Kingdom,-1.45,2010-12-08,13:18:00
18202,C537805,22197,SMALL POPCORN HOLDER,-1,0.72,15311.0,United Kingdom,-0.72,2010-12-08,13:18:00
18203,C537805,20829,GLITTER HANGING BUTTERFLY STRING,-1,2.1,15311.0,United Kingdom,-2.1,2010-12-08,13:18:00
18204,C537805,22571,ROCKING HORSE RED CHRISTMAS ,-1,0.85,15311.0,United Kingdom,-0.85,2010-12-08,13:18:00
18232,C537807,84949,SILVER HANGING T-LIGHT HOLDER,-5,1.65,13495.0,United Kingdom,-8.25,2010-12-08,13:23:00
18233,C537807,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-3,4.95,13495.0,United Kingdom,-14.850000000000001,2010-12-08,13:23:00
18234,C537807,21143,ANTIQUE GLASS HEART DECORATION ,-1,1.95,13495.0,United Kingdom,-1.95,2010-12-08,13:23:00
18235,C537807,21812,GARLAND WITH HEARTS AND BELLS,-6,4.95,13495.0,United Kingdom,-29.700000000000003,2010-12-08,13:23:00
18246,C537812,21843,RED RETROSPOT CAKE STAND,-10,9.95,14299.0,United Kingdom,-99.5,2010-12-08,13:33:00
18247,C537812,22423,REGENCY CAKESTAND 3 TIER,-10,10.95,14299.0,United Kingdom,-109.5,2010-12-08,13:33:00
18255,C537814,20703,BLUE PADDED SOFT MOBILE,-3,4.25,12712.0,Germany,-12.75,2010-12-08,13:43:00
18351,C537820,22627,MINT KITCHEN SCALES,-1,8.5,16016.0,United Kingdom,-8.5,2010-12-08,14:10:00
18352,C537821,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-3,6.95,18193.0,United Kingdom,-20.85,2010-12-08,14:20:00
18974,C537824,22220,CAKE STAND LOVEBIRD 2 TIER WHITE,-1,9.95,12870.0,United Kingdom,-9.95,2010-12-08,14:27:00
18975,C537824,22784,LANTERN CREAM GAZEBO ,-1,4.95,12870.0,United Kingdom,-4.95,2010-12-08,14:27:00
19101,C537832,22073,RED RETROSPOT STORAGE JAR,-2,3.75,16858.0,United Kingdom,-7.5,2010-12-08,14:52:00
19102,C537832,21531,RED RETROSPOT SUGAR JAM BOWL,-4,2.1,16858.0,United Kingdom,-8.4,2010-12-08,14:52:00
19103,C537832,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-2,6.95,16858.0,United Kingdom,-13.9,2010-12-08,14:52:00
19105,C537834,22697,GREEN REGENCY TEACUP AND SAUCER,-1,2.95,13267.0,United Kingdom,-2.95,2010-12-08,14:54:00
19106,C537834,21314,SMALL GLASS HEART TRINKET POT,-1,2.1,13267.0,United Kingdom,-2.1,2010-12-08,14:54:00
19107,C537834,22798,ANTIQUE GLASS DRESSING TABLE POT,-3,2.95,13267.0,United Kingdom,-8.850000000000001,2010-12-08,14:54:00
19108,C537835,22138,BAKING SET 9 PIECE RETROSPOT ,-3,4.95,14618.0,United Kingdom,-14.850000000000001,2010-12-08,14:57:00
19124,C537838,22299,PIG KEYRING WITH LIGHT & SOUND ,-4,1.25,13115.0,United Kingdom,-5.0,2010-12-08,15:01:00
19348,C537853,79000,MOROCCAN TEA GLASS,-1,0.85,13370.0,United Kingdom,-0.85,2010-12-08,15:57:00
19349,C537853,22940,FELTCRAFT CHRISTMAS FAIRY,-1,4.25,13370.0,United Kingdom,-4.25,2010-12-08,15:57:00
19350,C537853,22169,FAMILY ALBUM WHITE PICTURE FRAME,-2,8.5,13370.0,United Kingdom,-17.0,2010-12-08,15:57:00
19351,C537853,22697,GREEN REGENCY TEACUP AND SAUCER,-1,2.95,13370.0,United Kingdom,-2.95,2010-12-08,15:57:00
19352,C537853,22960,JAM MAKING SET WITH JARS,-2,4.25,13370.0,United Kingdom,-8.5,2010-12-08,15:57:00
19390,C537856,37370,RETRO COFFEE MUGS ASSORTED,-2,1.25,14388.0,United Kingdom,-2.5,2010-12-08,15:59:00
19391,C537856,21843,RED RETROSPOT CAKE STAND,-1,10.95,14388.0,United Kingdom,-10.95,2010-12-08,15:59:00
19392,C537857,D,Discount,-1,267.12,17340.0,United Kingdom,-267.12,2010-12-08,16:00:00
19430,C537860,84406B,CREAM CUPID HEARTS COAT HANGER,-8,3.25,16252.0,United Kingdom,-26.0,2010-12-08,16:15:00
19431,C537860,22295,HEART FILIGREE DOVE LARGE,-12,1.65,16252.0,United Kingdom,-19.799999999999997,2010-12-08,16:15:00
